HasContrast;Mean;Median;StdDev;Min;Max;Skewness;Kurtosis;Percentile_25;Percentile_75;Entropy
0;92,057;89,25;60,629;0,638;255;0,702;0,057;38,25;131,962;4,29
1;117,713;119,212;63,436;0,638;255;0,398;-0,452;63,112;154,913;4,373
0;101,766;103,912;65,215;0,638;255;0,741;0,036;42,713;135,788;4,159
0;94,92;95,625;62,33;0,638;255;0,728;0,115;38,887;131,962;4,25
0;99,184;99,45;63,145;0,638;255;0,661;-0,058;42,713;135,788;4,306
0;100,011;100,725;64,347;0,638;255;0,797;0,173;42,713;133,237;4,157
0;98,354;98,175;62,116;0,638;255;0,699;0,067;43,988;133,875;4,308
0;93,926;92,438;61,274;0,638;255;0,745;0,153;39,525;131,325;4,261
0;94,285;87,338;62,761;0,638;255;0,744;0,021;40,8;133,875;4,326
0;105,575;115,388;59,114;0,638;255;0,582;0,097;49,088;138,338;4,112
0;105,811;112,838;60,491;0,638;255;0,543;0,07;51,638;138,975;4,235
0;110,249;107,738;64,427;0,638;255;0,463;-0,306;59,288;149,812;4,378
0;110,363;114,75;58,188;0,638;255;0,548;0,225;62,475;139,612;4,253
0;103,126;108,375;60,054;0,638;255;0,492;-0,039;49,725;138,975;4,303
0;112,311;110,288;62,933;0,638;255;0,453;-0,289;63,112;149,175;4,4
0;101,547;106,462;60,532;0,638;255;0,526;0,002;47,812;137,7;4,302
0;104,808;105,188;64,006;0,638;255;0,692;0,024;49,088;138,338;4,246
0;110,846;112,838;61,549;0,638;255;0,617;0,075;59,288;141,525;4,237
0;101,903;102;64,307;0,638;255;0,64;-0,128;44,625;139,612;4,298
0;102,363;103,912;62,563;0,638;255;0,647;0,035;47,175;138,338;4,273
0;113,983;114,112;61,778;0,638;255;0,529;-0,068;65,025;146,625;4,299
0;113,662;116,025;60,784;0,638;255;0,575;0,087;65,025;143,438;4,238
0;101,426;102;63,608;0,638;255;0,664;-0,046;44,625;138,338;4,281
0;113,634;116,025;61,292;0,638;255;0,58;0,05;63,75;143,438;4,24
0;119,351;116,025;66,187;0,638;255;0,459;-0,386;68,212;156,188;4,303
0;115,292;118,575;63,576;0,638;255;0,639;0,027;61,838;142,162;4,101
0;94,015;92,438;63,167;0,638;255;0,675;-0,076;36,975;135,15;4,263
0;87,835;74,587;63,108;0,638;255;0,815;0,088;33,788;131,325;4,23
0;97,437;93,075;65,213;0,638;255;0,734;-0,079;40,162;137,7;4,258
0;88,844;77,138;63,441;0,638;255;0,794;0,043;33,788;131,962;4,224
0;100,368;100,725;62,811;0,638;255;0,652;-0,047;44,625;138,338;4,285
0;91,539;85,425;63,191;0,638;255;0,747;0,011;35,7;133,237;4,233
0;100,464;92,438;67,783;0,638;255;0,686;-0,227;43,988;142,162;4,325
0;95,465;91,162;64,611;0,638;255;0,746;-0,032;38,887;135,15;4,268
0;98,2;99,45;61,012;0,638;255;0,657;0,076;43,988;135,788;4,279
0;87,119;73,312;62,875;0,638;255;0,845;0,162;33,15;129,412;4,225
0;96,574;94,988;64,397;0,638;255;0,737;0,014;39,525;135,15;4,25
0;115,729;103,912;74,427;0,638;255;0,444;-0,858;54,825;167,662;4,4
0;83,927;72,038;61,926;0,638;255;0,865;0,296;30,6;124,95;4,239
0;86,129;69,488;60,046;0,638;255;1,037;0,737;36,975;124,95;4,142
0;77,98;57,375;58,741;0,638;255;1,091;0,767;32,513;117,3;4,214
